"","X","FECHA","HORA","CO","CO2","NO","NO2","NOX","O3"
"6334",7398,"05/11/2021",6,0.13,4,21,19,41,8
"199",207,"09/01/2021",15,0.14,1,2,14,16,52
"1288",1345,"26/02/2021",1,0.4,2,18,38,56,16
"3456",3593,"30/05/2021",17,0.15,1,0,11,11,66
"4905",5929,"05/09/2021",1,0.17,0,3,12,15,15
"3468",3605,"31/05/2021",5,0.36,1,33,28,61,8
"3627",3772,"07/06/2021",4,0.3,3,33,32,65,8
"6315",7379,"04/11/2021",11,0.53,26,20,42,62,27
"5732",6780,"10/10/2021",12,0.31,1,5,18,22,55
"4327",5347,"11/08/2021",19,0.36,1,3,25,28,37
"1278",1335,"25/02/2021",15,0.44,3,2,21,23,93
"1027",1073,"14/02/2021",17,0.17,1,1,6,7,48
"5274",6308,"20/09/2021",20,0.4,0,6,22,28,18
"6252",7313,"01/11/2021",17,0.08,18,2,23,25,50
"263",271,"12/01/2021",7,0.81,3,96,35,131,1
"5533",6575,"01/10/2021",23,0.74,1,48,40,88,1
"7216",8368,"15/12/2021",16,0.34,5,3,32,35,81
"4571",5594,"22/08/2021",2,0.17,0,3,13,16,15
"1434",1494,"04/03/2021",6,0.66,1,22,49,71,16
"7383",8541,"22/12/2021",21,0.66,14,10,50,59,16
"4362",5385,"13/08/2021",9,0.72,2,48,30,78,4
"5521",6563,"01/10/2021",11,0.7,1,16,42,58,39
"1316",1373,"27/02/2021",5,0.35,1,2,27,28,18
"5173",6204,"16/09/2021",12,0.29,1,3,17,20,68
"5944",6999,"19/10/2021",15,0.37,2,4,24,28,68
"6557",7680,"16/11/2021",24,0.19,2,23,39,61,12
"7261",8416,"17/12/2021",16,0.19,1,3,26,29,59
"3952",4109,"21/06/2021",5,0.97,1,50,22,72,3
"2864",2978,"05/05/2021",2,0.16,1,0,14,13,54
"6551",7674,"16/11/2021",18,0.26,2,2,34,36,53
"863",905,"07/02/2021",17,0.17,2,0,7,8,54
"4619",5642,"24/08/2021",2,0.08,0,2,9,12,21
"2584",2676,"22/04/2021",12,0.5,3,4,33,37,85
"4373",5396,"13/08/2021",20,0.35,0,2,25,27,32
"3176",3305,"18/05/2021",17,0.23,0,0,21,21,69
"1054",1105,"16/02/2021",1,0.32,1,20,30,50,10
"22",22,"01/01/2021",22,0.57,1,8,38,46,14
"2232",2309,"07/04/2021",5,0.41,2,13,36,48,5
"5295",6329,"21/09/2021",17,0.22,1,2,15,17,63
"3834",3983,"15/06/2021",23,0.13,0,1,12,14,27
"6634",7757,"20/11/2021",5,0.17,1,21,30,51,2
"1813",1881,"20/03/2021",9,0.76,69,33,41,74,11
"940",982,"10/02/2021",22,0.97,2,28,52,80,4
"3715",3860,"10/06/2021",20,0.07,1,0,11,12,37
"2322",2402,"11/04/2021",2,0.8,1,25,53,77,5
"5497",6539,"30/09/2021",11,0.73,2,23,45,68,28
"7086",8238,"10/12/2021",6,1.5,4,207,59,266,0
"4743",5766,"29/08/2021",6,0.4,1,29,15,44,1
"2755",2865,"30/04/2021",9,0.75,4,34,53,87,14
"4155",5171,"04/08/2021",11,0.57,1,17,30,46,30
"439",455,"19/01/2021",23,0.16,3,5,26,30,30
"5647",6692,"06/10/2021",20,0.49,0,5,32,37,14
"3125",3254,"16/05/2021",14,0.2,1,0,10,10,90
"5827",6878,"14/10/2021",14,0.25,3,2,19,21,93
"4166",5182,"04/08/2021",22,0.3,0,7,23,29,6
"288",296,"13/01/2021",8,0.96,3,120,30,150,1
"1838",1909,"21/03/2021",13,0.27,3,1,14,16,84
"3192",3321,"19/05/2021",9,0.85,1,30,49,79,20
"6008",7063,"22/10/2021",7,0.42,1,27,23,50,1
"1550",1614,"09/03/2021",6,0.21,14,11,20,30,11
"2074",2148,"31/03/2021",12,0.43,2,5,33,39,74
"3638",3783,"07/06/2021",15,0.1,4,0,12,12,82
"2305",2385,"10/04/2021",9,0.9,2,33,54,87,20
"1876",1947,"23/03/2021",3,0.06,1,0,20,20,31
"2218",2295,"06/04/2021",15,0.39,3,2,24,26,76
"5712",6760,"09/10/2021",16,0.31,2,1,18,19,90
"5339",6378,"23/09/2021",18,0.27,1,5,27,32,30
"1840",1911,"21/03/2021",15,0.32,2,1,14,15,90
"2955",3080,"09/05/2021",8,0.39,2,7,25,32,24
"4479",5502,"18/08/2021",6,0.86,1,97,22,120,1
"7559",8721,"30/12/2021",9,1.92,6,191,50,241,1
"7587",8749,"31/12/2021",13,0.44,3,4,30,34,81
"2022",2096,"29/03/2021",8,0.28,2,16,21,37,9
"2106",2180,"01/04/2021",20,0.13,0,3,11,14,22
"6213",7274,"31/10/2021",2,0.54,3,50,37,87,2
"4850",5874,"02/09/2021",18,0.67,0,8,39,47,18
"7311",8466,"19/12/2021",18,0.09,1,3,19,22,29
"2700",2806,"27/04/2021",22,0.34,1,2,32,33,46
"352",368,"16/01/2021",8,0.74,11,78,37,115,1
"139",143,"06/01/2021",23,0.12,2,4,20,24,15
"5216",6250,"18/09/2021",10,0.26,2,8,12,20,25
"2895",3009,"06/05/2021",9,0.36,1,11,25,36,21
"4419",5442,"15/08/2021",18,0.19,1,2,11,14,45
"4307",5327,"10/08/2021",23,0.11,0,2,14,16,40
"2655",2747,"25/04/2021",11,0.25,5,4,20,24,57
"2573",2665,"22/04/2021",1,0.04,1,3,20,23,22
"895",937,"09/02/2021",1,0.27,3,1,22,24,26
"5019",6047,"09/09/2021",23,0.17,0,5,18,23,16
"2332",2412,"11/04/2021",12,0.28,3,3,22,24,82
"6886",8020,"01/12/2021",4,0.35,2,30,31,61,0
"910",952,"09/02/2021",16,0.31,2,1,17,18,91
"6259",7320,"01/11/2021",24,0.13,2,2,20,23,15
"949",991,"11/02/2021",7,0.99,2,75,39,114,0
"7234",8389,"16/12/2021",13,0.36,3,6,29,34,65
"304",320,"14/01/2021",8,1.02,5,98,35,134,0
"7013",8150,"06/12/2021",14,0.37,2,4,26,30,85
"3854",4003,"16/06/2021",19,0.26,1,3,18,21,37
"7429",8587,"24/12/2021",19,0.39,5,5,34,39,22
"1774",1842,"18/03/2021",18,0.21,2,1,21,22,48
"6725",7851,"24/11/2021",3,0.4,4,22,28,50,1
"5121",6152,"14/09/2021",8,0.49,1,29,17,47,5
"7192",8344,"14/12/2021",16,0.47,7,4,35,39,71
"7101",8253,"10/12/2021",21,1.12,2,20,72,92,13
"3243",3376,"21/05/2021",16,0.13,2,0,12,12,90
"6649",7772,"20/11/2021",20,0.24,2,5,27,32,20
"1662",1726,"13/03/2021",22,0.13,1,1,11,11,44
"2629",2721,"24/04/2021",9,1.27,7,76,68,144,9
"2349",2429,"12/04/2021",5,1,2,71,52,123,5
"1099",1150,"17/02/2021",22,0.62,0,13,43,56,11
"5349",6388,"24/09/2021",4,0.11,0,8,15,22,12
"2159",2236,"04/04/2021",4,0.22,31,6,29,35,4
"59",63,"03/01/2021",15,0.2,1,2,13,15,65
"6468",7588,"13/11/2021",4,0.06,13,3,14,17,18
"6632",7755,"20/11/2021",3,0.08,0,6,15,20,15
"2244",2321,"07/04/2021",17,0.18,7,2,15,17,72
"636",670,"28/01/2021",22,0.29,22,3,18,21,21
"5357",6396,"24/09/2021",12,0.3,4,9,25,34,42
"5250",6284,"19/09/2021",20,0.36,0,3,19,22,15
"3735",3880,"11/06/2021",16,0.43,1,1,28,29,50
"5509",6551,"30/09/2021",23,0.22,1,7,33,40,7
"5995",7050,"21/10/2021",18,0.43,1,18,24,42,11
"1750",1818,"17/03/2021",18,0.26,1,1,19,20,58
"5695",6743,"08/10/2021",23,0.15,6,4,16,20,15
"2953",3078,"09/05/2021",6,0.62,1,16,35,51,12
"4650",5673,"25/08/2021",9,0.34,2,16,15,31,15
"1255",1309,"24/02/2021",13,0.48,6,7,32,39,64
"3552",3693,"03/06/2021",21,0.41,0,1,25,26,34
"777",815,"03/02/2021",23,0.36,11,6,32,38,15
"6855",7989,"29/11/2021",21,0.38,22,6,32,38,17
"4499",5522,"19/08/2021",2,0.13,1,3,10,13,19
"1877",1948,"23/03/2021",4,0.23,1,5,26,30,17
"5389",6428,"25/09/2021",20,0.24,1,5,18,23,20
"6168",7229,"29/10/2021",5,0.5,1,21,36,57,2
"593",618,"26/01/2021",18,0.18,1,2,13,15,35
"2966",3091,"09/05/2021",19,0.36,1,0,26,26,45
"7513",8675,"28/12/2021",11,0.87,6,23,58,80,29
"2787",2897,"01/05/2021",17,0.17,0,1,15,16,65
"6184",7245,"29/10/2021",21,0.08,6,4,20,24,22
"862",904,"07/02/2021",16,0.19,2,1,8,9,54
"1830",1901,"21/03/2021",5,0.45,4,2,30,32,18
"7303",8458,"19/12/2021",10,0.83,5,33,50,84,10
"3156",3285,"17/05/2021",21,0.29,0,2,32,34,29
"5828",6879,"14/10/2021",15,0.21,3,2,17,19,88
"4898",5922,"04/09/2021",18,0.43,0,2,25,28,45
"2744",2854,"29/04/2021",22,0.09,1,0,20,20,46
"989",1031,"12/02/2021",23,0.18,1,3,16,19,12
"3964",4121,"21/06/2021",17,0.36,1,2,27,28,73
"3375",3512,"27/05/2021",8,0.26,9,18,24,42,14
"2815",2929,"03/05/2021",1,0.27,1,30,35,65,7
"4186",5202,"05/08/2021",18,0.4,0,1,23,24,72
"6892",8026,"01/12/2021",10,0.94,4,62,48,110,9
"4422",5445,"15/08/2021",21,0.19,0,2,12,13,25
"6",6,"01/01/2021",6,0.71,1,9,31,40,3
"790",828,"04/02/2021",12,1.19,3,25,78,103,42
"5782",6833,"12/10/2021",17,0.07,1,3,9,12,42
"1382",1439,"01/03/2021",23,0.16,1,1,11,12,46
"85",89,"04/01/2021",17,0.42,4,1,29,30,91
"559",579,"25/01/2021",3,0.33,1,4,28,33,12
"1916",1987,"24/03/2021",19,0.1,0,1,15,16,41
"3222",3355,"20/05/2021",19,0.26,5,0,23,23,67
"4911",5935,"05/09/2021",7,0.34,2,10,15,25,6
"5636",6681,"06/10/2021",9,0.52,2,37,29,66,4
"4625",5648,"24/08/2021",8,0.43,1,26,25,51,6
"3764",3909,"12/06/2021",21,0.23,0,1,17,18,22
"3196",3325,"19/05/2021",13,0.14,0,0,10,10,74
"7466",8624,"26/12/2021",8,1.13,2,85,31,115,1
"3129",3258,"16/05/2021",18,0.11,0,1,11,12,52
"1080",1131,"17/02/2021",3,0.29,0,4,23,26,17
"689",723,"31/01/2021",3,0.25,13,1,23,24,31
"7420",8578,"24/12/2021",10,2.33,5,162,82,244,3
"990",1036,"13/02/2021",4,0.05,1,5,13,18,14
"2334",2414,"11/04/2021",14,0.25,2,1,14,14,117
"3126",3255,"16/05/2021",15,0.25,1,0,10,10,94
"106",110,"05/01/2021",14,0.33,6,3,24,27,71
"1818",1886,"20/03/2021",14,0.3,9,3,19,22,80
"1848",1919,"21/03/2021",23,0.48,2,4,34,39,35
"837",875,"06/02/2021",11,0.52,2,8,29,37,50
"7115",8267,"11/12/2021",11,0.8,2,24,59,83,32
"5917",6972,"18/10/2021",12,0.55,2,14,32,46,38
"4704",5727,"27/08/2021",15,0.53,1,4,25,29,58
"7125",8277,"11/12/2021",21,0.09,1,2,24,27,28
"4819",5843,"01/09/2021",11,1.02,1,18,47,66,24
"4585",5608,"22/08/2021",16,0.33,0,2,13,16,64
"5500",6542,"30/09/2021",14,0.71,1,7,48,56,55
"7596",8758,"31/12/2021",22,0.38,1,3,28,31,18
"5241",6275,"19/09/2021",11,0.31,1,6,12,18,32
"2044",2118,"30/03/2021",6,0.85,5,112,39,151,2
"6249",7310,"01/11/2021",14,0.38,9,3,38,41,76
"2050",2124,"30/03/2021",12,0.34,7,5,27,32,70
"6153",7211,"28/10/2021",11,0.13,2,10,26,36,42
"1697",1765,"15/03/2021",13,0.1,3,1,13,14,82
"3202",3331,"19/05/2021",19,0.04,0,0,11,11,51
"4324",5344,"11/08/2021",16,0.36,1,1,19,20,95
"5934",6989,"19/10/2021",5,0.54,3,138,26,164,1
"2522",2606,"19/04/2021",14,0.1,0,1,6,8,57
"5034",6062,"10/09/2021",14,0.25,1,3,12,16,60
"829",867,"06/02/2021",3,0.15,2,0,14,14,48
"703",737,"31/01/2021",17,0.2,1,1,10,11,52
"6320",7384,"04/11/2021",16,0.14,24,5,24,29,53
"1314",1371,"27/02/2021",3,0.34,2,4,31,36,16
"3635",3780,"07/06/2021",12,0.24,2,4,23,27,66
"7010",8147,"06/12/2021",11,0.62,3,16,41,56,33
"6237",7298,"01/11/2021",2,0.11,1,5,27,33,10
"3888",4037,"18/06/2021",5,0.19,1,11,21,31,15
"7012",8149,"06/12/2021",13,0.34,2,5,27,33,72
"6943",8077,"03/12/2021",13,0.58,4,14,41,55,43
"6592",7715,"18/11/2021",11,0.77,2,26,49,74,30
"4208",5227,"06/08/2021",19,0.31,0,3,19,22,26
"1271",1328,"25/02/2021",8,1.25,5,125,38,162,3
"7440",8598,"25/12/2021",6,0.77,2,25,27,52,1
"6224",7285,"31/10/2021",13,0.16,2,3,18,22,73
"7499",8657,"27/12/2021",17,0.52,3,2,32,34,82
"5902",6957,"17/10/2021",21,0.33,0,3,17,21,18
"2601",2693,"23/04/2021",5,0.57,2,65,50,115,5
"50",54,"03/01/2021",6,0.59,2,19,42,61,3
"3267",3400,"22/05/2021",16,0.09,1,0,10,10,83
"1350",1407,"28/02/2021",15,0.5,8,0,17,17,131
"6610",7733,"19/11/2021",5,0.06,1,8,19,27,16
"2939",3064,"08/05/2021",16,0.18,2,0,17,17,75
"6114",7172,"26/10/2021",20,0.64,1,24,31,55,5
"5404",6443,"26/09/2021",11,0.31,4,6,15,21,37
"4363",5386,"13/08/2021",10,0.3,2,9,21,30,24
"3260",3393,"22/05/2021",9,0.6,3,19,37,56,24
"1275",1332,"25/02/2021",12,0.73,14,14,42,56,46
"7594",8756,"31/12/2021",20,0.48,1,3,34,37,25
"2513",2597,"19/04/2021",5,1.06,2,91,45,136,5
"889",931,"08/02/2021",19,0.39,1,2,27,29,32
"3898",4047,"18/06/2021",15,0.57,1,7,21,28,26
"3224",3357,"20/05/2021",21,0.18,2,0,18,17,48
"4618",5641,"24/08/2021",1,0.1,0,4,13,17,19
"2657",2749,"25/04/2021",13,0.26,3,1,13,14,107
"3153",3282,"17/05/2021",18,0.25,0,1,26,27,48
"7439",8597,"25/12/2021",5,0.77,2,22,27,49,1
"6733",7859,"24/11/2021",11,0.54,8,16,35,51,29
"3705",3850,"10/06/2021",10,0.3,17,13,22,35,29
"1911",1982,"24/03/2021",14,0.14,1,2,12,15,62
"1734",1802,"17/03/2021",2,0.41,2,81,42,124,2
"4769",5792,"30/08/2021",8,0.91,1,67,24,91,1
"1003",1049,"13/02/2021",17,0.16,1,2,8,10,41
"6341",7405,"05/11/2021",13,0.32,3,8,31,39,51
"4666",5689,"26/08/2021",1,0.13,0,3,14,18,16
"7368",8526,"22/12/2021",6,1.58,4,191,43,234,1
"1374",1431,"01/03/2021",15,0.4,4,1,21,21,109
"6676",7799,"21/11/2021",23,0.13,2,3,15,18,18
"204",212,"09/01/2021",20,0.34,1,6,27,33,12
"7509",8671,"28/12/2021",7,1.18,3,127,44,171,1
"974",1016,"12/02/2021",8,1.47,4,173,32,205,1
"4003",4160,"23/06/2021",8,0.67,1,33,30,64,7
"2514",2598,"19/04/2021",6,1.55,3,138,53,191,4
"1883",1954,"23/03/2021",10,0.77,1,28,44,72,22
"7166",8318,"13/12/2021",14,0.33,4,8,35,43,55
"220",228,"10/01/2021",12,0.11,1,5,10,15,33
"7523",8685,"28/12/2021",21,0.78,2,19,48,68,12
"1907",1978,"24/03/2021",10,0.66,1,22,41,63,26
"7451",8609,"25/12/2021",17,0.11,2,2,8,10,52
"241",249,"11/01/2021",9,1.13,8,108,34,142,2
"2985",3110,"10/05/2021",14,0.47,5,0,22,23,120
"1758",1826,"18/03/2021",2,0.26,1,14,34,48,17
"1675",1739,"14/03/2021",11,0.53,7,5,27,33,63
"5616",6661,"05/10/2021",13,0.15,1,5,11,16,41
"2197",2274,"05/04/2021",18,0.11,5,1,15,16,50
"4382",5405,"14/08/2021",5,0.17,0,7,13,20,11
"265",273,"12/01/2021",9,0.9,3,63,32,95,3
"2193",2270,"05/04/2021",14,0.24,2,3,20,22,67
"2434",2518,"15/04/2021",22,0.11,0,0,17,17,49
"3043",3168,"12/05/2021",24,0.03,0,0,11,11,26
"641",675,"29/01/2021",3,0.21,14,7,19,26,14
"4006",4163,"23/06/2021",11,0.71,1,14,34,48,38
"1640",1704,"12/03/2021",24,0.27,15,2,22,24,22
"2452",2536,"16/04/2021",16,0.3,1,0,18,19,134
"3511",3652,"02/06/2021",4,0.08,1,3,12,14,29
"7322",8477,"20/12/2021",5,0.34,2,50,30,80,1
"5560",6602,"03/10/2021",2,0.13,0,2,11,13,25
"5756",6807,"11/10/2021",15,0.31,4,1,16,18,102
"5367",6406,"24/09/2021",22,0.5,1,14,37,50,6
"5701",6749,"09/10/2021",5,0.05,5,10,14,24,11
"7531",8693,"29/12/2021",5,0.26,2,60,38,98,2
"5798",6849,"13/10/2021",9,1.25,2,83,47,130,5
"4184",5200,"05/08/2021",16,0.38,0,1,17,18,87
"1719",1787,"16/03/2021",11,0.43,2,7,28,35,52
"1497",1558,"06/03/2021",22,0.47,1,6,35,40,16
"2581",2673,"22/04/2021",9,1.27,6,74,60,134,7
"3824",3973,"15/06/2021",13,0.27,1,3,13,16,54
"2363",2443,"12/04/2021",19,0.22,0,1,19,19,64
"5801",6852,"13/10/2021",12,0.44,1,8,29,37,51
"1158",1212,"20/02/2021",12,1.06,15,14,59,73,57
"6333",7397,"05/11/2021",5,0.02,5,10,17,27,10
"5547",6589,"02/10/2021",13,0.5,1,3,26,29,93
"1406",1463,"02/03/2021",23,0.3,1,1,27,28,45
"3060",3185,"13/05/2021",17,0.19,1,5,17,21,32
"607",632,"27/01/2021",8,1.42,5,178,46,224,1
"838",876,"06/02/2021",12,0.39,2,4,20,24,63
"5414",6453,"26/09/2021",21,0.23,1,1,15,16,29
"3355",3492,"26/05/2021",12,0.45,4,4,30,34,72
"2546",2638,"20/04/2021",22,0.3,1,2,20,22,44
"1468",1529,"05/03/2021",17,0.13,8,2,15,17,70
"7301",8456,"19/12/2021",8,0.86,1,64,35,99,1
"1377",1434,"01/03/2021",18,0.46,3,0,25,26,96
"2519",2603,"19/04/2021",11,0.5,1,6,27,33,61
"6132",7190,"27/10/2021",14,0.11,0,2,5,7,40
"3792",3941,"14/06/2021",5,0.16,0,19,15,33,7
"7203",8355,"15/12/2021",3,0.23,6,16,27,43,2
"5641",6686,"06/10/2021",14,0.26,1,10,18,27,28
"499",519,"22/01/2021",15,0.28,3,2,19,22,77
"4858",5882,"03/09/2021",2,0.3,0,2,26,28,7
"32",36,"02/01/2021",12,0.44,2,10,33,43,51
"5540",6582,"02/10/2021",6,1.87,3,221,29,251,1
"2718",2824,"28/04/2021",16,0.32,3,0,20,20,115
"43",47,"02/01/2021",23,0.48,1,9,31,40,21
"5813",6864,"13/10/2021",24,0.49,1,8,32,40,4
"6134",7192,"27/10/2021",16,0.15,1,2,8,11,49
"2128",2205,"02/04/2021",21,0.1,1,2,13,14,24
"166",174,"08/01/2021",6,0.78,5,101,38,139,1
"6871",8005,"30/11/2021",13,0.48,4,12,36,49,42
"62",66,"03/01/2021",18,0.05,1,1,9,10,41
"1646",1710,"13/03/2021",6,1.04,11,103,39,142,1
"6715",7841,"23/11/2021",17,0.3,1,4,18,23,36
"3063",3188,"13/05/2021",20,0.18,1,3,19,21,20
"2399",2483,"14/04/2021",11,0.86,2,11,56,67,65
"7051",8188,"08/12/2021",4,0.63,3,124,48,172,0
"4097",5113,"02/08/2021",1,0.59,1,15,35,50,3
"3303",3436,"24/05/2021",4,0.01,2,0,9,9,42
"6433",7497,"09/11/2021",9,0.67,32,71,37,108,5
"2147",2224,"03/04/2021",16,0.11,2,1,8,9,64
"138",142,"06/01/2021",22,0.07,1,2,15,17,21
"1309",1366,"26/02/2021",22,0.77,3,9,55,63,19
"1823",1891,"20/03/2021",19,0.23,6,1,16,16,58
"5726",6774,"10/10/2021",6,0.69,1,47,20,67,1
"7162",8314,"13/12/2021",10,0.68,5,41,39,80,11
"535",555,"24/01/2021",3,0.74,2,61,51,111,1
"5304",6338,"22/09/2021",2,0.1,0,1,10,11,26
"472",492,"21/01/2021",12,0.54,3,11,32,43,44
