"","X","FECHA","HORA","CO","CO2","NO","NO2","NOX","O3"
"3603",3744,"05/06/2021",24,0.42,1,4,24,28,24
"2859",2973,"04/05/2021",21,0.31,1,0,22,21,54
"7054",8191,"08/12/2021",7,1.36,4,240,48,288,0
"7195",8347,"14/12/2021",19,1.19,4,17,78,94,18
"796",834,"04/02/2021",18,0.34,2,3,26,29,54
"1556",1620,"09/03/2021",12,0.87,11,16,54,70,51
"3658",3803,"08/06/2021",11,0.51,2,9,38,47,56
"5413",6452,"26/09/2021",20,0.27,1,2,21,23,22
"5899",6954,"17/10/2021",18,0.34,1,7,20,27,18
"7341",8496,"20/12/2021",24,0.55,1,42,28,69,0
"2549",2641,"21/04/2021",1,0.36,12,7,30,37,26
"5791",6842,"13/10/2021",2,0.52,2,81,26,107,2
"173",181,"08/01/2021",13,0.19,4,4,17,20,54
"4613",5636,"23/08/2021",20,0.25,0,3,19,22,20
"3766",3911,"12/06/2021",23,0.21,0,3,17,20,14
"3341",3474,"25/05/2021",18,0.31,2,1,23,23,54
"3183",3312,"18/05/2021",24,0.52,1,22,49,71,14
"4516",5539,"19/08/2021",19,0.21,0,4,15,20,27
"496",516,"22/01/2021",12,0.21,2,5,20,25,47
"161",165,"07/01/2021",21,0.29,62,3,30,32,30
"4682",5705,"26/08/2021",17,0.23,1,5,16,22,23
"4914",5938,"05/09/2021",10,0.38,9,10,17,27,19
"6827",7961,"28/11/2021",17,0.25,4,2,18,20,91
"1940",2011,"25/03/2021",19,0.41,0,1,28,29,55
"923",965,"10/02/2021",5,0.37,3,5,32,37,7
"696",730,"31/01/2021",10,0.87,10,26,46,72,22
"1780",1848,"18/03/2021",24,0.26,2,2,24,27,22
"2765",2875,"30/04/2021",19,0.31,3,4,36,40,37
"1198",1252,"22/02/2021",4,0.46,3,21,36,57,19
"2456",2540,"16/04/2021",20,0.4,0,1,36,36,50
"2712",2818,"28/04/2021",10,0.62,2,14,40,54,40
"5893",6948,"17/10/2021",12,0.23,1,4,10,14,34
"5745",6796,"11/10/2021",4,0.35,1,10,25,35,2
"4451",5474,"17/08/2021",2,0.1,0,3,12,16,17
"6366",7430,"06/11/2021",14,0.15,6,5,19,24,51
"3124",3253,"16/05/2021",13,0.22,1,1,12,12,79
"651",685,"29/01/2021",13,0.79,8,9,39,48,56
"3516",3657,"02/06/2021",9,0.35,2,9,21,31,22
"4485",5508,"18/08/2021",12,0.43,3,6,25,31,58
"3175",3304,"18/05/2021",16,0.35,0,1,25,26,74
"2799",2913,"02/05/2021",9,0.62,1,13,29,42,21
"6228",7289,"31/10/2021",17,0.13,2,1,22,23,70
"6401",7465,"08/11/2021",1,0,2,3,14,17,16
"1828",1896,"20/03/2021",24,0.19,4,1,21,22,39
"113",117,"05/01/2021",21,0.27,2,5,30,35,21
"6441",7561,"12/11/2021",1,0.12,1,5,24,29,17
"6907",8041,"02/12/2021",1,0.1,0,3,15,19,14
"3814",3963,"15/06/2021",3,0.08,0,7,15,22,6
"830",868,"06/02/2021",4,0.14,1,1,26,26,41
"6327",7391,"04/11/2021",23,0.16,1,11,29,40,6
"6248",7309,"01/11/2021",13,0.31,12,8,33,41,57
"4192",5208,"05/08/2021",24,0.11,0,6,12,17,19
"761",799,"03/02/2021",7,0.77,5,57,36,93,0
"5263",6297,"20/09/2021",9,0.94,2,72,28,99,5
"2100",2174,"01/04/2021",14,0.08,0,2,7,9,44
"3717",3862,"10/06/2021",22,0.18,3,6,24,29,22
"2689",2795,"27/04/2021",11,0.53,4,7,40,48,68
"558",578,"25/01/2021",2,0.58,1,8,41,49,3
"3682",3827,"09/06/2021",11,0.44,8,7,30,37,45
"6624",7747,"19/11/2021",19,0.28,1,9,24,33,13
"4323",5343,"11/08/2021",15,0.43,1,1,20,22,107
"725",763,"01/02/2021",19,0.33,5,2,26,28,36
"1943",2014,"25/03/2021",22,0.21,0,1,19,20,42
"25",29,"02/01/2021",5,0.24,1,0,20,20,20
"2762",2872,"30/04/2021",16,0.51,1,0,36,36,96
"1683",1747,"14/03/2021",19,0.29,0,4,30,33,22
"4058",4219,"25/06/2021",19,0.19,1,6,20,27,22
"2660",2752,"25/04/2021",16,0.24,16,0,12,12,107
"625",659,"28/01/2021",11,0.09,1,9,16,25,32
"5252",6286,"19/09/2021",22,0.36,0,7,24,31,8
"7066",8203,"08/12/2021",19,1.6,3,24,114,138,17
"6110",7168,"26/10/2021",16,0.12,0,4,11,14,35
"3491",3632,"01/06/2021",8,0.79,15,34,34,68,9
"2942",3067,"08/05/2021",19,0.24,2,0,19,18,64
"6265",7326,"02/11/2021",6,0.66,3,94,33,126,1
"2336",2416,"11/04/2021",16,0.14,1,1,11,12,67
"4430",5453,"16/08/2021",5,0.24,5,9,18,27,11
"7017",8154,"06/12/2021",18,0.43,2,5,46,51,74
"5384",6423,"25/09/2021",15,0.34,3,2,17,19,87
"7401",8559,"23/12/2021",15,0.22,2,7,19,26,47
"632",666,"28/01/2021",18,0.42,2,4,30,35,40
"3534",3675,"03/06/2021",3,0.23,1,9,31,40,9
"5950",7005,"19/10/2021",21,0.49,1,5,32,37,16
"717",755,"01/02/2021",11,0.26,2,7,16,23,19
"3295",3428,"23/05/2021",20,0.2,1,0,18,17,43
"7242",8397,"16/12/2021",21,0.7,6,6,58,65,13
"7328",8483,"20/12/2021",11,0.96,5,43,52,95,11
"2369",2449,"13/04/2021",1,0.16,1,2,26,27,35
"595",620,"26/01/2021",20,0.5,1,8,33,40,23
"2237",2314,"07/04/2021",10,0.98,2,30,56,86,23
"713",751,"01/02/2021",7,0.15,2,2,17,19,21
"449",469,"20/01/2021",13,0.3,9,8,25,33,44
"6906",8040,"01/12/2021",24,0.16,0,6,19,25,10
"1199",1253,"22/02/2021",5,0.81,3,85,55,139,4
"4163",5179,"04/08/2021",19,0.25,0,2,19,21,32
"2969",3094,"09/05/2021",22,0.11,0,0,9,9,44
"2303",2383,"10/04/2021",7,0.54,1,17,46,64,8
"7345",8500,"21/12/2021",4,0.17,2,33,26,58,2
"2992",3117,"10/05/2021",21,0.14,5,0,14,13,51
"3610",3751,"06/06/2021",7,0.81,1,21,31,52,4
"2367",2447,"12/04/2021",23,0.14,1,1,18,19,50
"7014",8151,"06/12/2021",15,0.37,2,4,29,33,88
"4754",5777,"29/08/2021",17,0.73,0,13,30,42,8
"7193",8345,"14/12/2021",17,0.44,5,3,35,37,70
"2039",2113,"30/03/2021",1,0.3,28,2,23,25,20
"5668",6713,"07/10/2021",17,0.24,1,6,27,32,33
"65",69,"03/01/2021",21,0.16,1,1,16,18,27
"557",577,"25/01/2021",1,0.51,1,7,42,50,7
"6920",8054,"02/12/2021",14,0.25,3,8,20,28,44
"4676",5699,"26/08/2021",11,0.36,1,13,19,32,29
"2439",2523,"16/04/2021",3,0.25,1,1,24,25,27
"2167",2244,"04/04/2021",12,0.4,15,9,32,41,59
"5298",6332,"21/09/2021",20,0.29,1,4,21,24,26
"5213",6247,"18/09/2021",7,0.3,0,7,20,28,7
"4891",5915,"04/09/2021",11,0.42,1,10,22,33,37
"5713",6761,"09/10/2021",17,0.2,1,1,13,14,69
"5490",6532,"30/09/2021",4,0.19,1,43,29,71,4
"4027",4184,"24/06/2021",8,0.66,2,44,22,67,6
"3823",3972,"15/06/2021",12,0.35,1,6,19,25,47
"3256",3389,"22/05/2021",5,0.4,1,27,33,60,8
"1653",1717,"13/03/2021",13,0.43,14,4,28,32,88
"1051",1102,"15/02/2021",22,0.19,0,2,18,20,27
"3654",3799,"08/06/2021",7,1.21,3,113,45,158,4
"5437",6476,"27/09/2021",20,0.3,0,2,25,27,28
"1704",1772,"15/03/2021",20,0.16,1,1,21,22,46
"1315",1372,"27/02/2021",4,0.47,2,22,40,62,8
"981",1023,"12/02/2021",15,0.09,1,5,6,11,30
"7183",8335,"14/12/2021",7,0.82,3,132,30,162,0
"5272",6306,"20/09/2021",18,0.3,0,2,20,23,41
"4433",5456,"16/08/2021",8,0.37,10,10,18,28,10
"2465",2549,"17/04/2021",5,0.94,2,75,51,127,5
"3205",3334,"19/05/2021",22,0.07,0,0,19,19,39
"4565",5588,"21/08/2021",20,0.45,0,3,25,28,14
"7158",8310,"13/12/2021",6,0.6,1,43,30,74,2
"6171",7232,"29/10/2021",8,0.55,2,47,29,76,3
"4724",5747,"28/08/2021",11,0.42,1,13,16,29,21
"4955",5979,"07/09/2021",3,0.11,0,4,18,23,12
"1134",1188,"19/02/2021",12,1.2,39,23,71,95,45
"7223",8375,"15/12/2021",23,0.39,5,8,40,48,14
"2328",2408,"11/04/2021",8,0.62,1,24,36,60,19
"4932",5956,"06/09/2021",4,0.2,0,10,18,28,9
"7043",8180,"07/12/2021",20,0.19,0,4,25,29,30
"4054",4215,"25/06/2021",15,0.49,2,17,23,40,23
"5762",6813,"11/10/2021",21,0.12,1,1,15,16,35
"3053",3178,"13/05/2021",10,0.36,2,14,27,41,22
"4258",5278,"08/08/2021",22,0.59,0,9,33,42,6
"5829",6880,"14/10/2021",16,0.19,3,1,16,17,105
"3371",3508,"27/05/2021",4,0.05,1,7,16,22,18
"6658",7781,"21/11/2021",5,0.2,1,10,24,35,2
"3307",3440,"24/05/2021",8,0.4,2,14,30,43,15
"4074",5090,"01/08/2021",2,1.06,1,57,32,89,1
"4131",5147,"03/08/2021",11,0.89,1,32,39,71,13
"5733",6781,"10/10/2021",13,0.22,1,3,12,15,66
"1435",1495,"04/03/2021",7,0.67,2,33,56,89,3
"1339",1396,"28/02/2021",4,0.34,20,1,25,27,27
"4915",5939,"05/09/2021",11,0.37,7,8,15,23,36
"6845",7979,"29/11/2021",11,0.79,4,29,38,67,17
"6972",8109,"04/12/2021",21,0.25,8,4,24,28,15
"7427",8585,"24/12/2021",17,0.19,2,3,15,18,57
"6411",7475,"08/11/2021",11,0.79,10,29,50,78,24
"3211",3344,"20/05/2021",8,0.87,3,55,45,100,10
"2805",2919,"02/05/2021",15,0.39,1,0,13,12,95
"7146",8298,"12/12/2021",18,0.41,2,2,28,30,61
"2096",2170,"01/04/2021",10,0.07,0,4,10,14,37
"4733",5756,"28/08/2021",20,0.33,0,7,16,23,7
"5479",6521,"29/09/2021",17,0.14,1,2,18,20,59
"4817",5840,"01/09/2021",8,0.79,1,33,33,65,4
"93",97,"05/01/2021",1,0.14,4,1,19,20,30
"7025",8162,"07/12/2021",2,0.08,3,8,32,40,20
"5394",6433,"26/09/2021",1,0.1,2,3,12,14,19
"1495",1556,"06/03/2021",20,0.19,1,2,21,23,31
"5948",7003,"19/10/2021",19,0.62,3,2,35,38,37
"6102",7160,"26/10/2021",8,1.97,5,196,27,223,1
"3630",3775,"07/06/2021",7,1.19,4,141,40,180,3
"6583",7706,"18/11/2021",2,0.23,2,22,42,65,9
"4502",5525,"19/08/2021",5,0.31,3,12,14,26,9
"583",608,"26/01/2021",8,1.59,5,205,38,243,1
"5412",6451,"26/09/2021",19,0.25,1,3,17,20,25
"1543",1604,"08/03/2021",20,0.25,2,4,31,35,23
"4936",5960,"06/09/2021",8,0.86,1,37,38,74,2
"5518",6560,"01/10/2021",8,0.51,1,46,22,68,3
"2618",2710,"23/04/2021",22,0.18,1,0,14,14,56
"7164",8316,"13/12/2021",12,0.23,3,8,25,33,42
"5230",6264,"18/09/2021",24,0.28,0,6,22,28,4
"461",481,"21/01/2021",1,0.31,3,48,26,75,1
"4968",5992,"07/09/2021",16,0.62,0,6,39,45,32
"938",980,"10/02/2021",20,0.74,2,5,46,51,16
"1600",1664,"11/03/2021",8,1.33,2,94,43,137,3
"5942",6997,"19/10/2021",13,0.3,1,4,15,19,58
"893",935,"08/02/2021",23,0.28,1,1,19,20,30
"426",442,"19/01/2021",10,1.36,4,103,60,163,5
"4093",5109,"01/08/2021",21,0.41,0,2,27,29,29
"693",727,"31/01/2021",7,0.65,4,23,45,67,4
"2766",2876,"30/04/2021",20,0.21,1,1,27,28,39
"4894",5918,"04/09/2021",14,0.47,1,2,21,23,102
"5099",6130,"13/09/2021",10,0.38,1,18,19,38,16
"1590",1654,"10/03/2021",22,0.62,2,7,51,58,16
"6524",7644,"15/11/2021",12,0.2,3,9,20,29,39
"4046",4207,"25/06/2021",7,0.76,2,87,21,108,3
"4228",5247,"07/08/2021",15,0.43,1,1,20,21,111
"1862",1933,"22/03/2021",13,0.03,0,1,6,7,54
"1118",1169,"18/02/2021",17,0.47,0,1,21,22,98
"4098",5114,"02/08/2021",2,0.77,1,25,38,63,1
"1702",1770,"15/03/2021",18,0.22,3,1,23,24,70
"4998",6022,"08/09/2021",22,0.26,0,3,19,22,20
"7198",8350,"14/12/2021",22,0.13,9,5,23,28,13
"3190",3319,"19/05/2021",7,1.41,3,138,47,185,4
"1655",1719,"13/03/2021",15,0.28,6,1,18,19,98
"1751",1819,"17/03/2021",19,0.31,1,1,22,24,46
"107",111,"05/01/2021",15,0.38,5,2,23,25,84
"5064",6095,"11/09/2021",23,0.06,0,3,16,19,16
"3071",3200,"14/05/2021",8,0.24,1,8,19,27,15
"2907",3021,"06/05/2021",21,0.18,0,1,18,19,34
"6075",7133,"25/10/2021",5,0.91,2,107,19,126,1
"2285",2365,"09/04/2021",13,0.28,1,2,21,22,101
"2906",3020,"06/05/2021",20,0.19,0,1,16,16,39
"6965",8102,"04/12/2021",14,0.28,3,10,30,40,45
"6735",7861,"24/11/2021",13,0.41,3,6,26,32,50
"5692",6740,"08/10/2021",20,0.26,4,3,23,26,22
"5317",6351,"22/09/2021",15,0.2,0,4,9,13,38
"7044",8181,"07/12/2021",21,0.2,0,4,27,30,33
"783",821,"04/02/2021",5,0.71,4,112,39,151,1
"7258",8413,"17/12/2021",13,0.37,2,6,28,34,64
"4556",5579,"21/08/2021",11,0.35,1,12,17,29,14
"7282",8437,"18/12/2021",13,0.39,2,6,33,38,63
"2116",2193,"02/04/2021",9,0.13,2,7,16,23,15
"5041",6069,"10/09/2021",21,0.3,0,3,18,22,23
"1214",1268,"22/02/2021",20,0.31,1,2,22,24,34
"4551",5574,"21/08/2021",6,0.12,0,5,13,18,21
"2961",3086,"09/05/2021",14,0.38,2,0,16,16,114
"5600",6642,"04/10/2021",18,0.33,1,6,23,29,23
"668",702,"30/01/2021",6,0.83,8,75,46,121,1
"1703",1771,"15/03/2021",19,0.25,2,1,26,27,48
"4024",4181,"24/06/2021",5,1.35,2,98,34,132,3
"3296",3429,"23/05/2021",21,0.17,1,0,15,15,36
"4537",5560,"20/08/2021",16,0.25,1,4,13,18,38
"2102",2176,"01/04/2021",16,0.09,0,3,9,12,40
"5778",6829,"12/10/2021",13,0.51,1,4,33,38,89
"2222",2299,"06/04/2021",19,0.02,0,1,9,10,43
"3102",3231,"15/05/2021",15,0.37,2,0,27,27,78
"1942",2013,"25/03/2021",21,0.42,1,1,33,34,32
"2296",2376,"09/04/2021",24,0.59,1,20,47,67,10
"3218",3351,"20/05/2021",15,0.32,2,0,21,21,116
"7537",8699,"29/12/2021",11,0.79,2,25,48,73,24
"3869",4018,"17/06/2021",10,0.31,1,7,18,24,28
"152",156,"07/01/2021",12,0.45,12,15,34,48,29
"7479",8637,"26/12/2021",21,0.34,19,2,26,28,26
"2208",2285,"06/04/2021",5,0.38,10,51,41,92,8
"5664",6709,"07/10/2021",13,0.47,3,7,26,33,57
"1620",1684,"12/03/2021",4,0.21,0,4,26,30,7
"2678",2784,"26/04/2021",24,0.02,1,0,18,17,42
"929",971,"10/02/2021",11,0.69,3,18,36,54,26
"1554",1618,"09/03/2021",10,0.75,25,34,39,73,16
"5365",6404,"24/09/2021",20,0.39,1,3,24,27,25
"3598",3739,"05/06/2021",19,0.73,2,1,42,43,46
"48",52,"03/01/2021",4,0.69,2,29,46,75,1
"5267",6301,"20/09/2021",13,0.53,1,5,25,30,70
"2563",2655,"21/04/2021",15,0.44,6,1,21,22,125
"3765",3910,"12/06/2021",22,0.4,1,3,23,26,14
"1947",2018,"26/03/2021",2,0.44,0,4,39,42,14
"5400",6439,"26/09/2021",7,0.36,2,16,21,37,7
"3489",3630,"01/06/2021",6,0.93,4,130,34,163,4
"6426",7490,"09/11/2021",2,0.23,15,29,33,62,2
"6627",7750,"19/11/2021",22,0.21,1,7,24,31,9
"2122",2199,"02/04/2021",15,0.1,1,1,7,9,52
"6298",7359,"03/11/2021",15,0.22,9,7,28,36,53
"4375",5398,"13/08/2021",22,0.28,0,2,20,22,28
"1297",1354,"26/02/2021",10,0.89,4,19,43,62,27
"5626",6671,"05/10/2021",23,0.17,0,11,22,34,5
"6193",7254,"30/10/2021",6,1.19,10,173,33,206,1
"2419",2503,"15/04/2021",7,0.55,1,22,44,66,4
"3865",4014,"17/06/2021",6,0.24,2,9,26,35,14
"4075",5091,"01/08/2021",3,0.83,1,57,33,90,1
"1745",1813,"17/03/2021",13,0.33,2,3,20,23,74
"4561",5584,"21/08/2021",16,0.36,1,5,13,18,31
"3120",3249,"16/05/2021",9,0.27,1,4,17,21,37
"4520",5543,"19/08/2021",23,0.21,1,6,20,27,11
"4966",5990,"07/09/2021",14,0.62,0,2,26,28,85
"179",187,"08/01/2021",19,0.27,2,2,27,29,38
"4224",5243,"07/08/2021",11,0.3,6,8,18,26,34
"3111",3240,"15/05/2021",24,0.17,2,0,18,17,40
"3482",3619,"31/05/2021",19,0.46,2,1,37,38,41
"866",908,"07/02/2021",20,0.32,1,0,17,18,40
"1615",1679,"11/03/2021",23,0.35,1,4,33,37,7
"5912",6967,"18/10/2021",7,0.87,1,76,25,100,2
"2783",2893,"01/05/2021",13,0.21,0,0,12,12,92
"2250",2327,"07/04/2021",23,0.38,1,1,29,30,45
"1998",2072,"28/03/2021",8,1.3,2,70,41,111,5
"1123",1174,"18/02/2021",22,1.14,2,33,60,93,4
"3452",3589,"30/05/2021",13,0.25,2,0,13,13,103
"237",245,"11/01/2021",5,0.09,4,7,17,24,13
"6760",7886,"25/11/2021",14,0.57,4,7,42,49,62
"6758",7884,"25/11/2021",12,0.73,5,21,57,78,34
"5452",6491,"28/09/2021",11,0.85,1,14,46,60,44
"5429",6468,"27/09/2021",12,0.42,1,9,25,35,42
"4921",5945,"05/09/2021",17,0.42,1,5,17,22,25
"2958",3083,"09/05/2021",11,0.48,2,2,24,26,81
"726",764,"01/02/2021",20,0.33,11,2,27,29,25
"6285",7346,"03/11/2021",2,0.45,2,54,31,85,1
"1716",1784,"16/03/2021",8,1.33,4,111,51,162,2
"4824",5848,"01/09/2021",16,0.72,1,3,41,44,42
"7189",8341,"14/12/2021",13,0.27,6,12,30,43,37
"2385",2465,"13/04/2021",17,0.24,1,1,19,20,83
"1584",1648,"10/03/2021",16,0.04,0,2,9,11,49
"4775",5798,"30/08/2021",14,0.22,0,8,14,22,13
"4493",5516,"18/08/2021",20,0.32,3,3,28,31,24
"1749",1817,"17/03/2021",17,0.3,2,1,17,18,80
"6198",7259,"30/10/2021",11,0.47,7,22,40,62,28
"4091",5107,"01/08/2021",19,0.19,0,2,14,16,44
"1989",2063,"27/03/2021",23,0.32,1,1,20,21,37
"387",403,"17/01/2021",19,0.3,1,7,21,27,9
"5347",6386,"24/09/2021",2,0.09,0,9,17,27,11
"2018",2092,"29/03/2021",4,0.01,1,3,14,17,18
"4552",5575,"21/08/2021",7,0.14,0,4,13,17,20
"1010",1056,"13/02/2021",24,0.46,1,8,28,36,9
"6221",7282,"31/10/2021",10,0.82,3,26,50,76,23
"1292",1349,"26/02/2021",5,0.48,3,56,43,100,7
"571",592,"25/01/2021",16,0.08,1,1,8,9,52
"2615",2707,"23/04/2021",19,0.17,2,1,18,18,58
"2482",2566,"17/04/2021",22,0.04,1,0,10,10,44
"1571",1635,"10/03/2021",3,0.57,6,83,40,123,2
"6764",7890,"25/11/2021",18,0.52,5,5,46,51,43
"1181",1235,"21/02/2021",11,0.71,7,9,33,42,50
"4044",4205,"25/06/2021",5,0.35,1,21,18,39,4
"2804",2918,"02/05/2021",14,0.29,1,0,11,11,103
"3503",3644,"01/06/2021",20,0.27,1,1,18,19,33
"5352",6391,"24/09/2021",7,0.34,0,19,24,44,3
"4868",5892,"03/09/2021",12,0.82,1,19,39,58,31
"4959",5983,"07/09/2021",7,0.68,1,43,33,76,1
"6354",7418,"06/11/2021",2,0.49,3,71,36,107,3
"5857",6909,"15/10/2021",21,0.19,0,4,18,21,18
"1987",2061,"27/03/2021",21,0.45,1,1,20,21,46
"4507",5530,"19/08/2021",10,0.46,10,14,19,33,23
"4694",5717,"27/08/2021",5,0.22,1,24,24,48,3
